concern,skin_type,ingredients,benefits,directions,brands,notes
bumpy skin,dry,"ceramides, colloidal oatmeal",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Cosrx, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,normal,"coenzyme Q10, collagen",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Simple, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,oily,"vitamin C, azelaic acid",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Ren Clean Skincare, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,normal,"lanolin, cholesterol",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, LANEIGE, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,combination,"niacinamide, vitamin C",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Neutrogena, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,sensitive,"allantoin, calendula",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Shiseido, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,normal,"cholesterol, ceramides",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, Neutrogena, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,dry,"panthenol, glycerin",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, LANEIGE, Olay",Avoid mixing strong actives; discontinue if irritation occurs
back acne,sensitive,"azelaic acid, salicylic acid",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, La Mer, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,normal,"azelaic acid, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Allies of Skin, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,normal,"AHA, kojic acid",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Sisley Paris, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,sensitive,"ceramides, squalane",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Naturium, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
redness,combination,"centella asiatica, allantoin",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Biossance, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,dry,"retinol, peptides",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Simple, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,sensitive,"benzoyl peroxide, azelaic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Cosrx, Simple",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,dry,"peptides, collagen",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, CeraVe, Simple",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,combination,"kojic acid, arbutin",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Farmacy, Avene",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,combination,"arbutin, kojic acid",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Inkey List, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,combination,"arbutin, AHA",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Murad, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,oily,"tea tree oil, salicylic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Ren Clean Skincare, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
body acne,dry,"salicylic acid, benzoyl peroxide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Babor, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
